bucket,year,month,era_tag,filename_original,filename_saved,url,source_page,downloaded_at,http_status,content_length,last_modified,etag,content_type,sha256,status
再編後,2025,1,R07,setaisu-jinkousu_area_r07-01.xlsx,setaisu-jinkousu_area_r07-01.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-01.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:26:46.777532+09:00,200,97581,"Wed, 07 May 2025 03:01:52 GMT","""17d2d-63482f47b775b""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,05ff3e3eee8568c4abb5b0edf2f37b414100a9d5f470d2c5cb007399767ea1f8,downloaded
再編後,2025,2,R07,setaisu-jinkousu_area_r07-02.xlsx,setaisu-jinkousu_area_r07-02.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-02.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:26:48.511532+09:00,200,97125,"Wed, 07 May 2025 03:01:52 GMT","""17b65-63482f47ef1fe""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2313e760950d9c0f6b4a2d31ab78daa4b21010b6e3cb36e22ed7e22a33f3a414,downloaded
再編後,2025,3,R07,setaisu-jinkousu_area_r07-03.xlsx,setaisu-jinkousu_area_r07-03.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-03.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:26:49.839532+09:00,200,95637,"Wed, 07 May 2025 03:01:52 GMT","""17595-63482f481d830""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,9d8bda73c78cbe69812abb68b592bcdc2251f1ea57d07748a94cccbc545b28c7,downloaded
再編後,2025,4,R07,setaisu-jinkousu_area_r07-04.xlsx,setaisu-jinkousu_area_r07-04.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-04.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:26:51.339532+09:00,200,95698,"Wed, 07 May 2025 03:01:52 GMT","""175d2-63482f484c632""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1d1f3e6a7859164e134824b7c82d1470a94a67c6fd73e5a2181ba8fb0db79479,downloaded
再編後,2025,5,R07,setaisu-jinkousu_area_r07-05.xlsx,setaisu-jinkousu_area_r07-05.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-05.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:26:52.980532+09:00,200,97505,"Wed, 07 May 2025 03:01:53 GMT","""17ce1-63482f487b04c""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,f8e70db3480e9e9d54cc7a25a14dccdf3ec1306ff32111d92a2caaef2ae9c34d,downloaded
再編後,2025,6,R07,setaisu-jinkousu_area_r07-06.xlsx,setaisu-jinkousu_area_r07-06.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-06.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:26:54.480532+09:00,200,73359,"Fri, 06 Jun 2025 06:00:15 GMT","""11e8f-636e0f1ad4154""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1964bbe20006a4aa34a846d240d7a4e55858a748a0f9b3b8b1c7c1e4038b607d,downloaded
再編後,2025,7,R07,setaisu-jinkousu_area_r07-07.xlsx,setaisu-jinkousu_area_r07-07.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-07.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:26:55.793532+09:00,200,71659,"Thu, 10 Jul 2025 09:00:28 GMT","""117eb-6398f6cc88af6""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,935fb085df86d980a3efa5f9dccaddecea9b83acdcbeb50a500c14e75df3a808,downloaded
再編後,2025,8,R07,setaisu-jinkousu_area_r07-08.xlsx,setaisu-jinkousu_area_r07-08.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-08.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:26:57.402532+09:00,200,95880,"Fri, 08 Aug 2025 03:00:32 GMT","""17688-63bd1c6f1ea19""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,9c42063bde8827f74c4dadf70f5ba47c1ab6e2e178714525064d8676cbf20e99,downloaded
再編後,2025,9,R07,setaisu-jinkousu_area_r07-09.xlsx,setaisu-jinkousu_area_r07-09.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-09.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:26:59.011532+09:00,200,95754,"Fri, 05 Sep 2025 03:01:01 GMT","""1760a-63e050c460395""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,94d72fd0ce78d6b3ed35d163b0aa049643394c8437938410aab2a1d9d2e706a9,downloaded
再編後,2025,10,R07,setaisu-jinkousu_area_r07-10.xlsx,setaisu-jinkousu_area_r07-10.xlsx,https://www.city.hamamatsu.shizuoka.jp/documents/3757/setaisu-jinkousu_area_r07-10.xlsx,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,2025-12-17T22:27:00.699532+09:00,200,96854,"Tue, 07 Oct 2025 03:00:52 GMT","""17a56-64088c69eea2c""",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ad80f22850e4e9c63b9ccfad9f4f52926be8be11393046f93acc6c4b543bc2cc,downloaded
