ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,higashi,蒲地区,上新屋町,800,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,上西町,1814,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,丸塚町,1353,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,大蒲町,1208,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,子安団地,138,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,子安町,750,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,宮竹町,528,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,将監町,500,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,植松町,1582,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,神立町,750,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,蒲地区,西塚町,460,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
