ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,minami,新津地区,倉松町,437,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,卸本町,225,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,堤町,231,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,小沢渡町,940,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,小沢渡町西,207,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,新橋町東,804,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,新橋町西,884,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,法枝町,250,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,田尻町,271,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,米津町,662,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
