ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,minami,五島地区,松島町,256,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,五島地区,江之島町,106,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,五島地区,福島町,134,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,五島地区,西島町東,187,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,五島地区,西島町西,211,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,五島地区,遠州浜第一,293,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,五島地区,遠州浜第三,570,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,五島地区,遠州浜第二,498,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,五島地区,遠州浜第五,130,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,五島地区,遠州浜第四,199,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,可美地区,増楽町,1208,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,可美地区,東若林町,1493,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,可美地区,若林町北,788,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,可美地区,若林町東,775,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,可美地区,若林町西,818,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,可美地区,高塚町北,720,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,可美地区,高塚町南,973,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,倉松町,437,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,卸本町,225,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,堤町,231,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,小沢渡町,940,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,小沢渡町西,207,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,新橋町東,804,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,新橋町西,884,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,法枝町,250,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,田尻町,271,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,新津地区,米津町,662,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,河輪地区,三新町,191,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,河輪地区,富屋町,160,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,河輪地区,東町,356,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,河輪地区,河輪町上,240,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,河輪地区,河輪町下,212,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,河輪地区,西町,407,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,河輪地区,長田町,150,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,白脇地区,ビレッジハウス浜松,134,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,白脇地区,三島町,2081,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,白脇地区,中田島町,376,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,白脇地区,寺脇町,1039,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,白脇地区,楊子町,1090,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,白脇地区,瓜内町,1300,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,白脇地区,白羽町,1060,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,白脇地区,砂丘,830,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,白脇地区,福塚町,57,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,下江町,228,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,参野町,581,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,古川町,261,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,四本松町,290,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,大柳町,159,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,安松町,1374,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,御給町,160,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,恩地町,751,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,本郷町,434,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,本郷町東,1251,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,県営芳川団地,31,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,石原町,378,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,立野町,380,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,老間団地,120,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,老間町,72,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,芳川町大橋,675,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,芳川町神出,270,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,西伝寺町,485,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,都盛町,308,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,金折町,367,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,頭陀寺町,700,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,鼡野町,108,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,三和町,894,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,下飯田町,160,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,南天竜,86,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,大塚町,130,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,新貝町,226,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,渡瀬町,985,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,青屋町,527,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,飯田町上組,447,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,飯田町新田,107,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
