ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,higashi,中ノ町地区,中里町,317,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,中ノ町地区,中野町北,105,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,中ノ町地区,中野町南,193,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,中ノ町地区,中野町大明神,231,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,中ノ町地区,中野町東,303,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,中ノ町地区,中野町西,312,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,中ノ町地区,国吉町,308,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,中ノ町地区,松小池町,265,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,中ノ町地区,白鳥町,220,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,北島町,1525,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,和田町,1820,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,天龍川町,1300,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,安新町,310,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,安間町,530,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,材木町,240,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,篠ヶ瀬町,1700,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,薬師町,600,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,薬新団地,39,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,薬新町,366,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,長鶴町,350,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,和田地区,龍光町,175,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,中郡町万斛東,348,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,中郡町万斛西,480,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,中郡町橋爪新田,264,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,中郡町橋爪東,360,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,医大宿舎,132,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,半田団地,690,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,半田山北,1807,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,半田町,760,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大島町上前島,415,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大島町上大瀬,558,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大瀬町中,234,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大瀬町東,268,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大瀬町栩木,275,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大瀬町西,547,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,旭ヶ丘,285,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉・欠下本村,1001,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉北町上瀬,397,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉北町小島,192,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉北町新村,542,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉北町町田,384,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉南町 下村新田,415,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉南町 川原本村,340,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉南町市場,275,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉南町西畑屋,338,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉台,115,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉団地,275,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
