ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,minami,芳川地区,下江町,228,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,参野町,581,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,古川町,261,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,四本松町,290,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,大柳町,159,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,安松町,1374,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,御給町,160,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,恩地町,751,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,本郷町,434,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,本郷町東,1251,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,県営芳川団地,31,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,石原町,378,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,立野町,380,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,老間団地,120,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,老間町,72,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,芳川町大橋,675,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,芳川町神出,270,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,西伝寺町,485,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,都盛町,308,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,金折町,367,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,頭陀寺町,700,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,鼡野町,108,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
