ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,naka,三方原地区,三幸町,647,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原清水,505,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原町 三方原,1150,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原町 三方原南,1550,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原町百園,909,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原聖隷,51,False,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町中,550,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町北第一,330,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町北第三,1070,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町北第二,630,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町南,1330,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町追分,548,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,大原町,241,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,東三方町,621,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,東三方町官舎,110,False,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,根洗町,1448,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,百里園,539,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,豊岡町,543,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
