ward,region_key,district,jichikai,households,corporate,asof,source_url
浜名区,hamakita,麁玉地区,北,171,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,宮口大屋敷,355,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,宮口有隣,375,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,宮口梔池,178,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,宮口町,111,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,宮口譲栄,185,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,宮口辺田原,64,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,宮口野口,200,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,新原下善,583,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,新原本村,680,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,麁玉地区,新原東原,369,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
