ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,higashi,積志地区,中郡町万斛東,348,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,中郡町万斛西,480,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,中郡町橋爪新田,264,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,中郡町橋爪東,360,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,医大宿舎,132,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,半田団地,690,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,半田山北,1807,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,半田町,760,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大島町上前島,415,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大島町上大瀬,558,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大瀬町中,234,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大瀬町東,268,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大瀬町栩木,275,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,大瀬町西,547,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,旭ヶ丘,285,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉・欠下本村,1001,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉北町上瀬,397,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉北町小島,192,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉北町新村,542,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉北町町田,384,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉南町 下村新田,415,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉南町 川原本村,340,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉南町市場,275,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉南町西畑屋,338,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉台,115,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉団地,275,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,有玉西町欠下平,324,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,東畑屋,470,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,積志町吾妻,144,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,積志町松木,179,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,積志町橋爪向,20,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,積志町橋爪西,636,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,積志町漆島,424,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,西ケ崎町上,394,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,西ケ崎町中,338,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,西ケ崎町旭,270,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,西ケ崎町沖,282,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,積志地区,鷺の宮北部,275,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
