ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,higashi,笠井地区,常光町,207,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,恒武町上,220,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,恒武町下,244,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井上町,430,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井新田町第一,503,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井新田町第三,220,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井新田町第二,346,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井町仲町,300,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井町第一,131,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井町第七,104,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井町第三,327,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井町第二,151,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,笠井町第八,505,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,豊町上,271,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,豊町下,235,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,豊町倉中瀬上,48,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,豊町倉中瀬下,131,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,豊町南,160,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,豊町羽鳥,144,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,豊町西,102,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,豊西町上,88,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,豊西町下,180,True,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,貴平町上,74,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
中央区,higashi,笠井地区,貴平町下,130,False,2025-04-01,https://www.hamajitiren.jp/chiiki/higashi02.html
