ward,region_key,district,jichikai,households,corporate,asof,source_url
浜名区,kita,都田地区,滝沢町,149,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町一色,27,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町中津,310,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町中野,130,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町前原,353,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町吉影,58,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町川山,85,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町新木,20,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町横尾,61,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町沢上,413,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町白昭,220,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町谷上,35,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町須部,48,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,鷲沢町,21,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
