ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,naka,萩丘地区,住吉,2622,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,和合町,4173,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,小豆餅,1580,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,幸,2940,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,泉,2400,False,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,花川町,332,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,萩丘,2407,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,葵東,1100,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,葵西,4000,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,西丘町,200,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,萩丘地区,高丘,7760,False,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
