ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,naka,アクト地区,八幡町,580,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,アクト地区,常盤町,1000,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,アクト地区,新町,370,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,アクト地区,早馬町,31,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,アクト地区,東田町,468,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,アクト地区,松江町,150,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,アクト地区,板屋町,1170,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,アクト地区,船越町,875,False,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,アクト地区,野口町,1200,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,アクト地区,馬込町,370,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三幸町,647,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原清水,505,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原町 三方原,1150,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原町 三方原南,1550,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原町百園,909,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,三方原聖隷,51,False,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町中,550,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町北第一,330,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町北第三,1070,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町北第二,630,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町南,1330,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,初生町追分,548,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,大原町,241,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,東三方町,621,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,東三方町官舎,110,False,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,根洗町,1448,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,百里園,539,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,三方原地区,豊岡町,543,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,中央地区,伝馬町,110,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,中央地区,元城町,400,False,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,中央地区,元目町,243,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,中央地区,利町,200,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,中央地区,北田町,120,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,中央地区,千歳町,337,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,中央地区,大工町,215,False,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,中央地区,尾張町,270,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
中央区,naka,中央地区,松城町,411,True,2025-04-01,https://www.hamajitiren.jp/chiiki/naka02.html
