ward,region_key,district,jichikai,households,corporate,asof,source_url
浜名区,kita,三ヶ日地区,上尾奈,77,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,上神,133,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,下尾奈,318,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,下神,90,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,佐久米,130,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,北平,142,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,南平,200,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,只木,76,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,大崎,311,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,大福寺,134,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,大谷,153,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,宇志,225,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,岡本,121,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,平山,135,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,御薗,92,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,摩訶耶,73,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,新田,80,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,日比沢,159,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,本坂,102,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,東天,145,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,東町,86,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,津々崎,92,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,西天,200,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,西平,70,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,西町,155,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,野地,149,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,釣,78,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,長根,93,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,駒場,52,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,鵺代,173,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
