ward,region_key,district,jichikai,households,corporate,asof,source_url
浜名区,kita,引佐地区,10区,109,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,11区,141,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,12区,70,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,13区,181,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,14区,73,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,15区,99,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,16区,88,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,3区,167,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,4区,232,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,5区,131,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,6区,310,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,7区,590,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,三岳,38,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,久留女木,61,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,伊平区,246,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,別所,91,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,城山台,60,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,奥山,365,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,寺野,33,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,川名,128,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,東四村,212,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,渋川,138,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,狩宿,50,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,田沢,79,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,的場四方浄,83,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,花平,86,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,西四村,131,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,谷沢,60,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
