ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,nishi,入野地区,入野町北脇,181,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,入野町南平,1536,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,入野町本所,680,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,入野町田端,730,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,入野町道陸地,335,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,大平台,2769,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,彦尾,780,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,志都呂団地,338,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,志都呂町,1480,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,県営南平団地,181,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,臨江山,512,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,西鴨江,345,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
