ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,nishi,伊佐見地区,ゆう・おおひとみ,620,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,伊佐見地区,伊左地町,810,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,伊佐見地区,佐浜町,235,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,伊佐見地区,古人見町,278,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,伊佐見地区,大人見町,366,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,伊佐見地区,瞳ケ丘,782,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,伊佐見地区,緑ヶ丘,202,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,入野町北脇,181,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,入野町南平,1536,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,入野町本所,680,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,入野町田端,730,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,入野町道陸地,335,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,大平台,2769,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,彦尾,780,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,志都呂団地,338,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,志都呂町,1480,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,県営南平団地,181,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,臨江山,512,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,入野地区,西鴨江,345,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,和地地区,和光町,150,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,和地地区,和地町,340,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,和地地区,大山町,283,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,和地地区,桜台,1114,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,和地地区,湖東団地,480,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,和地地区,湖東町,881,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,和地地区,湖東西,165,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,庄内地区,協和町,135,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,庄内地区,呉松町,288,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,庄内地区,平松町,215,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,庄内地区,庄内町,183,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,庄内地区,庄和町,200,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,庄内地区,村櫛町,880,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,庄内地区,深萩町,165,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,庄内地区,白洲町,251,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,庄内地区,舘山寺町,819,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,神久呂地区,大久保町,584,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,神久呂地区,神ケ谷町,935,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,神久呂地区,神原町,503,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,神久呂地区,西山町,2050,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,篠原地区,坪井町,702,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,篠原地区,篠原町東,1703,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,篠原地区,篠原町西,1180,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,篠原地区,馬郡町,864,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,篠原地区,馬郡町舞阪駅前,353,False,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,舞阪地区,舞阪町仲町,870,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,舞阪地区,舞阪町吹上,430,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,舞阪地区,舞阪町新町,780,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
中央区,nishi,舞阪地区,舞阪町砂町,350,True,2025-04-01,https://www.hamajitiren.jp/chiiki/nishi02.html
