ward,region_key,district,jichikai,households,corporate,asof,source_url
浜名区,hamakita,浜名地区,内野,946,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,浜名地区,内野台,1477,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,浜名地区,小松南,470,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,浜名地区,小松第一,1201,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,浜名地区,小松西,1113,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,浜名地区,平口姥ヶ谷,80,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,浜名地区,平口新田,271,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,浜名地区,平口本村,173,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,浜名地区,平口法師軒,355,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,浜名地区,染地台,2235,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
