ward,region_key,district,jichikai,households,corporate,asof,source_url
浜名区,hamakita,赤佐地区,尾野,845,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,赤佐地区,赤佐12区,65,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,赤佐地区,赤佐1区,480,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,赤佐地区,赤佐2区,276,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,赤佐地区,赤佐3区,344,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,赤佐地区,赤佐4区,429,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,赤佐地区,赤佐5区,319,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,赤佐地区,赤佐6区,367,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,赤佐地区,赤佐7区,265,False,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
浜名区,hamakita,赤佐地区,赤佐8区,434,True,2025-04-01,https://www.hamajitiren.jp/chiiki/hamakita02.html
