ward,region_key,district,jichikai,households,corporate,asof,source_url
浜名区,kita,細江地区,1区,915,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,7区,282,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,8区,201,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,9区,148,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,上町,520,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,下村,123,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,中区,238,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,伊目,600,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,刑部,219,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,呉石,185,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,寸座,94,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,小野,291,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,広岡,171,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,油田,577,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,清水,237,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,湖東,664,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,石岡,385,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,祝田,602,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,老ヶ谷,255,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,跡川,103,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
