ward,region_key,district,jichikai,households,corporate,asof,source_url
浜名区,kita,三ヶ日地区,上尾奈,77,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,上神,133,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,下尾奈,318,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,下神,90,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,佐久米,130,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,北平,142,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,南平,200,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,只木,76,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,大崎,311,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,大福寺,134,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,大谷,153,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,宇志,225,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,岡本,121,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,平山,135,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,御薗,92,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,摩訶耶,73,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,新田,80,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,日比沢,159,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,本坂,102,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,東天,145,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,東町,86,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,津々崎,92,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,西天,200,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,西平,70,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,西町,155,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,野地,149,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,釣,78,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,長根,93,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,駒場,52,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,三ヶ日地区,鵺代,173,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,10区,109,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,11区,141,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,12区,70,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,13区,181,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,14区,73,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,15区,99,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,16区,88,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,3区,167,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,4区,232,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,5区,131,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,6区,310,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,7区,590,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,三岳,38,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,久留女木,61,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,伊平区,246,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,別所,91,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,城山台,60,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,奥山,365,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,寺野,33,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,川名,128,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,東四村,212,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,渋川,138,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,狩宿,50,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,田沢,79,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,的場四方浄,83,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,花平,86,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,西四村,131,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,引佐地区,谷沢,60,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,新都田地区,新都田三丁目,391,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,新都田地区,新都田二丁目,657,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,新都田地区,新都田五丁目,723,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,1区,915,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,7区,282,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,8区,201,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,9区,148,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,上町,520,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,下村,123,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,中区,238,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,伊目,600,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,刑部,219,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,呉石,185,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,寸座,94,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,小野,291,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,広岡,171,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,油田,577,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,清水,237,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,湖東,664,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,石岡,385,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,祝田,602,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,老ヶ谷,255,False,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,細江地区,跡川,103,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,滝沢町,149,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町一色,27,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町中津,310,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町中野,130,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
浜名区,kita,都田地区,都田町前原,353,True,2025-04-01,https://www.hamajitiren.jp/chiiki/kita02.html
