ward,region_key,district,jichikai,households,corporate,asof,source_url
天竜区,tenryu,水窪地区,上村,33,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,向島,30,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,向市場,72,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,大野,21,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,小畑,207,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,水窪,71,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,神原,224,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,竜戸,35,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,草木,6,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,西浦,50,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,長尾,30,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,門桁,20,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
天竜区,tenryu,水窪地区,門谷,3,False,2025-04-01,https://www.hamajitiren.jp/chiiki/tenryu02.html
