area,year,p0005
三ヶ日地区,2007,640
三ヶ日地区,2008,651
三ヶ日地区,2009,637
三ヶ日地区,2010,625
三ヶ日地区,2011,624
三ヶ日地区,2012,621
三ヶ日地区,2013,615
三ヶ日地区,2014,605
三ヶ日地区,2015,591
三ヶ日地区,2016,580
三ヶ日地区,2017,536
三ヶ日地区,2018,551
三ヶ日地区,2019,548
三ヶ日地区,2020,506
三ヶ日地区,2021,485
三ヶ日地区,2022,449
三ヶ日地区,2023,407
三ヶ日地区,2024,386
三ヶ日地区,2025,348
三ヶ日町宇志,2007,32
三ヶ日町宇志,2008,33
三ヶ日町宇志,2009,34
三ヶ日町宇志,2010,37
三ヶ日町宇志,2011,33
三ヶ日町宇志,2012,33
三ヶ日町宇志,2013,33
三ヶ日町宇志,2014,33
三ヶ日町宇志,2015,30
三ヶ日町宇志,2016,28
三ヶ日町宇志,2017,27
三ヶ日町宇志,2018,29
三ヶ日町宇志,2019,31
三ヶ日町宇志,2020,19
三ヶ日町宇志,2021,18
三ヶ日町宇志,2022,27
三ヶ日町宇志,2023,24
三ヶ日町宇志,2024,24
三ヶ日町宇志,2025,23
三ヶ日町大崎,2007,33
三ヶ日町大崎,2008,40
三ヶ日町大崎,2009,29
三ヶ日町大崎,2010,32
三ヶ日町大崎,2011,44
三ヶ日町大崎,2012,41
三ヶ日町大崎,2013,40
三ヶ日町大崎,2014,39
三ヶ日町大崎,2015,45
三ヶ日町大崎,2016,46
三ヶ日町大崎,2017,45
三ヶ日町大崎,2018,49
三ヶ日町大崎,2019,45
三ヶ日町大崎,2020,44
三ヶ日町大崎,2021,35
三ヶ日町大崎,2022,33
三ヶ日町大崎,2023,26
三ヶ日町大崎,2024,20
三ヶ日町大崎,2025,16
三ヶ日町大谷,2007,30
三ヶ日町大谷,2008,32
三ヶ日町大谷,2009,33
三ヶ日町大谷,2010,26
三ヶ日町大谷,2011,27
三ヶ日町大谷,2012,25
三ヶ日町大谷,2013,24
三ヶ日町大谷,2014,29
三ヶ日町大谷,2015,32
三ヶ日町大谷,2016,30
三ヶ日町大谷,2017,28
三ヶ日町大谷,2018,30
三ヶ日町大谷,2019,27
三ヶ日町大谷,2020,20
三ヶ日町大谷,2021,19
三ヶ日町大谷,2022,14
三ヶ日町大谷,2023,12
三ヶ日町大谷,2024,12
三ヶ日町大谷,2025,6
三ヶ日町岡本,2007,40
三ヶ日町岡本,2008,47
三ヶ日町岡本,2009,45
三ヶ日町岡本,2010,47
三ヶ日町岡本,2011,41
三ヶ日町岡本,2012,39
三ヶ日町岡本,2013,37
三ヶ日町岡本,2014,44
三ヶ日町岡本,2015,36
三ヶ日町岡本,2016,46
三ヶ日町岡本,2017,40
三ヶ日町岡本,2018,42
